Crime ID,Month,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
f3a0160195abccb9532ae435e76a2866321601b0e531d558892a104b6b479b72,2014-02,-2.610699,51.454442,On or near Bellevue Terrace,E01014555,Bristol 034D,Drugs,Offender given conditional discharge
dfa10abef38168fed313a754c41c6157c5f97bbdfaf3307ab12507b3024743a4,2014-02,-2.609537,51.455814,On or near Parking Area,E01014555,Bristol 034D,Drugs,Under investigation
9a671cf3e8db4d1f571c8b886932432c0aa0d06b1a9e14f3ef1111be7465cb80,2014-02,-2.539412,51.450493,On or near St David'S Crescent,E01014529,Bristol 035B,Drugs,Offender given a caution
a8643e5ff66e18fc99047945f5a0c005354b6c964408175a83619b78bcf08218,2014-02,-2.531458,51.4384,On or near Capgrave Close,E01014526,Bristol 038D,Drugs,Under investigation
cd364842adbc8a7d8ac64cf5a338d893554f4c74cd593e3cdb331b6de119298f,2014-02,-2.605803,51.435791,On or near Chapel Barton,E01014500,Bristol 039A,Drugs,Offender given conditional discharge
3a06d44554eea11716a7a6605b3ec2c25aaee6574162a586fd6d3db1d1aa93d0,2014-02,-2.592792,51.443033,On or near Nightclub,E01033359,Bristol 039E,Drugs,Investigation complete; no suspect identified
4478b4cc83e2ca264c281b89a0b54b6be20f5c3e8caff68991dd9c6bce2459e0,2014-02,-2.592187,51.445212,On or near Parking Area,E01033359,Bristol 039E,Drugs,Court result unavailable
35b22afe42766abc17ae637ff85679772785603aa09bdbe79ddec3df0508c9b0,2014-02,-2.605488,51.436953,On or near Stanley Street North,E01033364,Bristol 039H,Drugs,Offender given community sentence
bcf3d19a68d8d03cb6da8a684f2b21858c6004567ae8a93a48010929efcbe96e,2014-02,-2.591187,51.437979,On or near Caen Road,E01014736,Bristol 040D,Drugs,Offender given a drugs possession warning
76c2d1009683a1902c852baed18275b9f92dae69344ac2c792f389dc120fda2a,2014-02,-2.588741,51.436885,On or near Atlas Road,E01014736,Bristol 040D,Drugs,Offender fined
e17a1004f9ff3b78dcac0344f382f342d6ffac050d6c05a930fe1bedb3343c0b,2014-02,-2.545134,51.429481,On or near Shopping Area,E01014536,Bristol 043D,Drugs,Offender given community sentence
86cf1e076ed7d133aeffcc34158bfeb797c5a98f006f10d368a17449768688ee,2014-02,-2.545134,51.429481,On or near Shopping Area,E01014536,Bristol 043D,Drugs,Offender given penalty notice
9d2fb7fd65d1622318550b0199cc9f751cb188f95cdf6a0333e1220e2d218fe4,2014-02,-2.589084,51.434429,On or near Marksbury Road,E01014578,Bristol 044A,Drugs,Offender given a caution
d3faddc57d11fdc41272bc5dc0471dd1c3e66267e331947309486f91a395a944,2014-02,-2.582631,51.427043,On or near Ilminster Avenue,E01014585,Bristol 044C,Drugs,Court result unavailable
c04f58257a3b32613f2a5a2722cce283fa7ebcd2f201a18174c0d777719578d6,2014-02,-2.579372,51.4275,On or near Bodmin Walk,E01014585,Bristol 044C,Drugs,Court result unavailable
f1baabb14a6b23b54c1fb1ecd756b91620f1994c6ce5145f944c2743c829eb3f,2014-02,-2.579372,51.4275,On or near Bodmin Walk,E01014585,Bristol 044C,Drugs,Court result unavailable
aa1902ebe7d755af478ea36c8ea9c41934649f5cbdf180bf436adfedc87850fc,2014-02,-2.579372,51.4275,On or near Bodmin Walk,E01014585,Bristol 044C,Drugs,Court result unavailable
5289a4a232d375ab1afd7560f12f57e01b837ebd0d778e591658014ac1cf4317,2014-02,-2.572787,51.425428,On or near Airport Road,E01014647,Bristol 044D,Drugs,Offender given suspended prison sentence
d3a707b1c1417885094db62fccfde97bfb609c25391e538c9ced6d2a649fd84a,2014-02,-2.578963,51.426971,On or near Newquay Road,E01014647,Bristol 044D,Drugs,Court result unavailable
892cb3947eb5d23e72ff56564d6a5dfd36da995969e1b89f2f7f7ffb6d1c0051,2014-02,-2.592894,51.425409,On or near Leinster Avenue,E01014579,Bristol 045A,Drugs,Offender fined
1dcb28e620d4a81807a32ec371a0fbd53a2cf32604643593eb8c5abb62a7d628,2014-02,-2.596899,51.419283,On or near Langhill Avenue,E01014580,Bristol 045B,Drugs,Offender given a caution
f4182cebdc66dec33096f75ab963fe3675177cb9a8d41bf0d524c5422f8cba42,2014-02,-2.591253,51.423089,On or near Morpeth Road,E01014581,Bristol 045C,Drugs,Offender given a caution
9adc110d56ce295ace9146f7dc50a05837b5ec0408cd28c9e692d8e178e9d458,2014-02,-2.588113,51.4227,On or near Creswicke Road,E01014581,Bristol 045C,Drugs,Court result unavailable
391395b7513ba991dba7964530a7a6f105c1776717de7312518d5125624f4a11,2014-02,-2.58931,51.426299,On or near Wicklow Road,E01014582,Bristol 045D,Drugs,Court result unavailable
5557399323039eb68365d8388c5086f603a46271a9c0e3817452f9685017ea25,2014-02,-2.58931,51.426299,On or near Wicklow Road,E01014582,Bristol 045D,Drugs,Court result unavailable
2cc11338101a3ab033a888372352ad80b624093a7de772d3cef6fda5af1be520,2014-02,-2.58931,51.426299,On or near Wicklow Road,E01014582,Bristol 045D,Drugs,Court result unavailable
ea943a3e97f3793760d2f0dc8312d416e8fd1fd400251fcafafcf0377fdef01b,2014-02,-2.589359,51.42897,On or near Lisburn Road,E01014582,Bristol 045D,Drugs,Court result unavailable
09a8b6bae14a571ffba44192a5a844cd8a1cfa03557c367076aa0d43949f9b91,2014-02,-2.58824,51.428139,On or near Athlone Walk,E01014582,Bristol 045D,Drugs,Court result unavailable
fe4c2f1ee6b1d51c9ad09892b767a41b4d0b805d0511972edf8da6ca5ee26b57,2014-02,-2.58931,51.426299,On or near Wicklow Road,E01014582,Bristol 045D,Drugs,Court result unavailable
7f69f81e4482536d269821a42d67bbffcf00b9492b7e78bcb688a414d4621130,2014-02,-2.590987,51.425859,On or near Police Station,E01014582,Bristol 045D,Drugs,Offender otherwise dealt with
f762dfab51a25101844c1a625783c85f05569850159cab2466dc768801eaab88,2014-02,-2.592123,51.430322,On or near Cavan Walk,E01014584,Bristol 045E,Drugs,Court result unavailable
c26687167312c1d89e3dccb3756268b57038d5d5d947a2b4cc20874ba2d961a8,2014-02,-2.568589,51.425575,On or near Westleigh Park,E01014613,Bristol 047E,Drugs,Offender given a caution
8afb82e8bc0dfb055ce777f324d652e9326b8aaf419b2854326758426aeee7fb,2014-02,-2.600036,51.416138,On or near Parking Area,E01014598,Bristol 048B,Drugs,Offender given a drugs possession warning
6acec3d1c94381ee13979e6a8f099a586a323339c4621e4dbaea6d96e2ab56d8,2014-02,-2.556433,51.424176,On or near Beechwood Close,E01014708,Bristol 049G,Drugs,Offender given a caution
a74baa746c842fe526a3ad85ceb62154e9dec289e6e0f41abb528d8f0b971ae6,2014-02,-2.62685,51.410531,On or near Shuter Road,E01014515,Bristol 050A,Drugs,Offender given a caution
95d41749db09554ead72f976384529c00ca2953305c39ffe41127f4a8da11b70,2014-02,-2.626741,51.40992,On or near Millground Road,E01014515,Bristol 050A,Drugs,Offender sent to prison
1f4249d856ca342498aa408f93721e58a806a7199fb10fac3b1c1ae81b671e88,2014-02,-2.625991,51.417153,On or near Spartley Drive,E01014522,Bristol 050D,Drugs,Offender otherwise dealt with
71c1b38c4d0786d22f21f4cfb40cb1ebf64b1f8c5ac8315c5784edbe6831e1f6,2014-02,-2.604034,51.410705,On or near Privet Drive,E01014593,Bristol 051A,Drugs,Offender given a caution
1f804439ea42926f6fa04573e7f2d11192cadbbf74d0ff21cbce57af0bfde1af,2014-02,-2.604034,51.410705,On or near Privet Drive,E01014593,Bristol 051A,Drugs,Court result unavailable
